Sun May 31 20:37:55 2026    c:/Users/pisci/Desktop/apps/pyqt_gallery/pyqt_gallery.prof

         1049948 function calls (1029983 primitive calls) in 31.861 seconds

   Ordered by: cumulative time
   List reduced from 4671 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      758    0.745    0.001    0.745    0.001 {built-in method fillRect}
     8704    0.040    0.000    0.714    0.000 C:\Users\pisci\Desktop\apps\pyqt_gallery\ui\widgets.py:313(mouseMoveEvent)
      630    0.021    0.000    0.709    0.001 C:\Users\pisci\Desktop\apps\pyqt_gallery\ui\widgets.py:118(paint)
   122/27    0.000    0.000    0.671    0.025 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py:108(import_module)
   122/27    0.000    0.000    0.671    0.025 <frozen importlib._bootstrap>:1194(_gcd_import)
     8023    0.560    0.000    0.645    0.000 {function ZoomableViewer.mouseMoveEvent at 0x000001F6C2761800}
      506    0.627    0.001    0.627    0.001 {built-in method setPixmap}
     2255    0.616    0.000    0.616    0.000 {built-in method drawPixmap}
        1    0.000    0.000    0.572    0.572 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1(<module>)
23413/20297    0.016    0.000    0.530    0.000 {built-in method builtins.hasattr}
      7/4    0.000    0.000    0.514    0.129 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\huggingface_hub\__init__.py:1034(__getattr__)
        7    0.000    0.000    0.475    0.068 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1315(_end_edit)
        1    0.000    0.000    0.467    0.467 C:\Users\pisci\Desktop\apps\pyqt_gallery\tools\ai_tool.py:1(<module>)
        1    0.000    0.000    0.465    0.465 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\huggingface_hub\file_download.py:1(<module>)
        1    0.000    0.000    0.453    0.453 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\navigation\__init__.py:1(<module>)
        8    0.000    0.000    0.452    0.057 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\commands.py:49(_apply_state)
        1    0.000    0.000    0.446    0.446 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\navigation\navigation_panel.py:1(<module>)
        1    0.000    0.000    0.439    0.439 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\widgets\acrylic_label.py:1(<module>)
        1    0.000    0.000    0.438    0.438 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\common\image_utils.py:1(<module>)
        1    0.000    0.000    0.437    0.437 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\__init__.py:1(<module>)
        7    0.001    0.000    0.432    0.062 {built-in method push}
        7    0.000    0.000    0.431    0.062 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\commands.py:40(redo)
        1    0.000    0.000    0.401    0.401 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\dialog_box\__init__.py:1(<module>)
        1    0.000    0.000    0.397    0.397 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\dialog_box\color_dialog.py:1(<module>)
        3    0.000    0.000    0.389    0.130 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:815(_on_canvas_spinbox_changed)
        3    0.000    0.000    0.389    0.130 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1520(update_canvas_params)
        4    0.000    0.000    0.367    0.092 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1386(_toggle_state_bool)
        1    0.020    0.020    0.351    0.351 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:765(confirm_canvas)
     1616    0.055    0.000    0.316    0.000 C:\Users\pisci\Desktop\apps\pyqt_gallery\ui\gallery_view.py:55(paint)
      626    0.007    0.000    0.298    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.265    0.265 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\requests\__init__.py:1(<module>)
        1    0.000    0.000    0.206    0.206 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\widgets\__init__.py:1(<module>)
        1    0.000    0.000    0.193    0.193 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\huggingface_hub\_local_folder.py:1(<module>)
      626    0.003    0.000    0.191    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.191    0.191 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\huggingface_hub\utils\__init__.py:1(<module>)
        1    0.000    0.000    0.189    0.189 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\common\__init__.py:1(<module>)
        2    0.000    0.000    0.187    0.094 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1395(toggle_flip_v)
     3419    0.183    0.000    0.183    0.000 {built-in method fromImage}
        2    0.000    0.000    0.180    0.090 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1391(toggle_flip_h)
        1    0.000    0.000    0.172    0.172 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\random\__init__.py:1(<module>)
        1    0.000    0.000    0.171    0.171 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\random\_pickle.py:1(<module>)
      734    0.006    0.000    0.169    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        1    0.000    0.000    0.168    0.168 C:\Users\pisci\Desktop\apps\pyqt_gallery\core\threads.py:1(<module>)
        1    0.000    0.000    0.166    0.166 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\cv2\__init__.py:1(<module>)
        1    0.001    0.001    0.166    0.166 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\cv2\__init__.py:68(bootstrap)
        1    0.000    0.000    0.165    0.165 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\widgets\button.py:1(<module>)
        1    0.000    0.000    0.163    0.163 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\__config__.py:1(<module>)
        1    0.000    0.000    0.161    0.161 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\core\__init__.py:1(<module>)
        1    0.000    0.000    0.158    0.158 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\widgets\menu.py:1(<module>)
      707    0.001    0.000    0.157    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      707    0.003    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        4    0.154    0.039    0.154    0.039 {built-in method fill}
        1    0.000    0.000    0.151    0.151 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qframelesswindow\__init__.py:1(<module>)
        1    0.000    0.000    0.147    0.147 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qframelesswindow\titlebar\__init__.py:1(<module>)
     1266    0.011    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.143    0.143 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qframelesswindow\utils\__init__.py:1(<module>)
        1    0.000    0.000    0.142    0.142 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qframelesswindow\utils\win32_utils.py:1(<module>)
     1260    0.139    0.000    0.139    0.000 {built-in method drawLine}
      415    0.030    0.000    0.137    0.000 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\canvas_items.py:66(paint)
2177/2138    0.028    0.000    0.132    0.000 {built-in method builtins.__build_class__}
      626    0.131    0.000    0.131    0.000 {built-in method io.open_code}
        2    0.001    0.000    0.131    0.066 C:\Users\pisci\Desktop\apps\pyqt_gallery\tools\ai_tool.py:539(_refresh_grid)
        1    0.000    0.000    0.126    0.126 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\requests\exceptions.py:1(<module>)
        1    0.000    0.000    0.125    0.125 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\requests\compat.py:1(<module>)
     3385    0.116    0.000    0.116    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.109    0.109 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\requests\compat.py:37(_resolve_char_detection)
     2141    0.108    0.000    0.108    0.000 {built-in method drawRoundedRect}
        1    0.000    0.000    0.107    0.107 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\core\multiarray.py:1(<module>)
     2995    0.002    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.107    0.107 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\charset_normalizer\__init__.py:1(<module>)
        1    0.000    0.000    0.106    0.106 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\numpy\core\overrides.py:1(<module>)
        5    0.104    0.021    0.104    0.021 {built-in method copy}
        1    0.000    0.000    0.104    0.104 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\charset_normalizer\api.py:1(<module>)
        1    0.000    0.000    0.102    0.102 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\urllib3\__init__.py:1(<module>)
        1    0.000    0.000    0.096    0.096 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\common\icon.py:1(<module>)
    43/38    0.000    0.000    0.092    0.002 <frozen importlib._bootstrap_external>:1239(exec_module)
    43/38    0.012    0.000    0.092    0.002 {built-in method _imp.exec_dynamic}
       24    0.003    0.000    0.090    0.004 C:\Users\pisci\Desktop\apps\pyqt_gallery\tools\ai_tool.py:278(__init__)
        1    0.015    0.015    0.090    0.090 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1148(_discard_ai_result)
     8459    0.006    0.000    0.085    0.000 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\enum.py:669(__call__)
      255    0.025    0.000    0.082    0.000 C:\Users\pisci\Desktop\apps\pyqt_gallery\ui\widgets.py:46(paintEvent)
      415    0.080    0.000    0.080    0.000 {built-in method fillPath}
        1    0.001    0.001    0.078    0.078 C:\Users\pisci\Desktop\apps\pyqt_gallery\tools\ai_tool.py:397(__init__)
        1    0.000    0.000    0.075    0.075 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\common\config.py:1(<module>)
      228    0.003    0.000    0.074    0.000 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\enum.py:822(_create_)
        1    0.000    0.000    0.074    0.074 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1079(on_ai_finished)
        1    0.000    0.000    0.073    0.073 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\huggingface_hub\utils\_fixes.py:1(<module>)
      677    0.072    0.000    0.072    0.000 {built-in method setStyleSheet}
     1475    0.006    0.000    0.071    0.000 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\canvas_items.py:125(hoverMoveEvent)
      318    0.008    0.000    0.064    0.000 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\enum.py:466(__new__)
        8    0.000    0.000    0.062    0.008 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1309(_begin_edit)
        8    0.000    0.000    0.062    0.008 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\commands.py:20(__init__)
      372    0.001    0.000    0.062    0.000 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:272(_compile)
       85    0.000    0.000    0.061    0.001 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1610(_log)
       98    0.000    0.000    0.061    0.001 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\charset_normalizer\utils.py:265(is_multi_byte_encoding)
      127    0.000    0.000    0.061    0.000 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:225(compile)
       20    0.001    0.000    0.060    0.003 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:566(set_state)


